ID,Title,Abstract,DOI,Keywords,Origin,Summary,Financial instrument?,Instrument,AI?,Probabilistic?
10.1016/j.rse.2023.113678,An approach to estimating forest biomass while quantifying estimate uncertainty and correcting bias in machine learning maps,"Providing forest biomass estimates with desired accuracy and precision for small areas is a key challenge to incorporating forest carbon offsets into commodity trading programs. Enrolled forest carbon projects and verification entities typically rely on probabilistically sampled field data and design-based (DB) estimators to estimate carbon storage and characterize uncertainty. However, this methodology requires a large amount of field data to achieve sufficient precision and collection of these data can be prohibitively expensive. This has spurred interest in developing regional-scale maps of forest biomass that incorporate remote sensing data as an alternative to collecting expensive plot data. These maps are often generated using machine learning (ML) algorithms that combine remote sensing products and field measurements. While these maps can produce estimates across large geographic regions at fine spatial resolutions, the estimates are prone to bias and do not have associated uncertainty estimates. Here, we assess one such map developed by the National Aeronautics and Space Administration's Carbon Monitoring System. We consider model-assisted (MA) and geostatistical model-based (GMB) estimators to address map bias and uncertainty quantification. The MA and GMB estimators use a sample of field observations as the response, and the ML-produced map as an auxiliary variable to achieve statistically defensible predictions. We compare MA and GMB estimator performance to DB and direct (DR) estimators. This assessment considers both counties and a small areal extent experimental forest, all within Oregon USA. Results suggest the MA and GMB estimators perform similar to the DB estimator at the state level and in counties containing many field plots. But in counties with moderate to small field sample sizes, the GMB and MA estimators are more precise than the DB estimator. As within-county sample sizes get smaller, the GMB estimator tends to outperform MA. Results also show the DR estimator's state-level estimates are substantially larger than the DB, MA and GMB estimates, indicating that that the DR estimator may be biased. When assessing the GMB estimator for the experimental forest, we find the GMB estimator has sufficient precision for stand-level carbon accounting even when no field observations are available within the stand. Plot-level GMB uncertainty interval coverage probabilities were estimated and showed adequate coverage. This suggests that the GMB estimator is producing statistically rigorous uncertainty estimates. © 2023 Elsevier Inc.",10.1016/j.rse.2023.113678,Bayesian hierarchical spatial modeling; Bias correction; Carbon monitoring; Design-based inference; Forest inventory; Machine learning; Model-based inference; Random forest; Remote sensing; Small area estimation,SCOPUS,"Combines model-assisted and geostatistical estimators with machine learning-generated biomass maps to accurately estimate forest biomass, addressing bias and uncertainty for improved carbon offset calculations.",❌,?,✔️,✔️
WOS:000642153700001,An efficient stock market prediction model using hybrid feature reduction method based on variational autoencoders and recursive feature elimination,"In this study, the hourly directions of eight banking stocks in Borsa Istanbul were predicted using linear-based, deep-learning (LSTM) and ensemble learning (LightGBM) models. These models were trained with four different feature sets and their performances were evaluated in terms of accuracy and F-measure metrics. While the first experiments directly used the own stock features as the model inputs, the second experiments utilized reduced stock features through Variational AutoEncoders (VAE). In the last experiments, in order to grasp the effects of the other banking stocks on individual stock performance, the features belonging to other stocks were also given as inputs to our models. While combining other stock features was done for both own (named as allstock_own) and VAE-reduced (named as allstock_VAE) stock features, the expanded dimensions of the feature sets were reduced by Recursive Feature Elimination. As the highest success rate increased up to 0.685 with allstock_own and LSTM with attention model, the combination of allstock_VAE and LSTM with the attention model obtained an accuracy rate of 0.675. Although the classification results achieved with both feature types was close, allstock_VAE achieved these results using nearly 16.67% less features compared to allstock_own. When all experimental results were examined, it was found out that the models trained with allstock_own and allstock_VAE achieved higher accuracy rates than those using individual stock features. It was also concluded that the results obtained with the VAE-reduced stock features were similar to those obtained by own stock features.",10.1186/s40854-021-00243-3,Stock market prediction; Variational autoencoder; Recursive feature elimination; Long-short term memory; Borsa Istanbul; LightGBM,WOS,"This study predicts the hourly directions of banking stocks using LSTM and LightGBM models with features reduced via Variational AutoEncoders and Recursive Feature Elimination, achieving high accuracy with fewer features.",✔️,Stock,✔️,❌
WOS:000901486600001,An image processing and machine learning solution to automate Egyptian cotton lint grading,"Egyptian cotton is one of the most important commodities for the Egyptian economy and is renowned globally for its quality, which is largely assessed and graded by manual inspection. This grading has several drawbacks, including significant labor requirements, low inspection efficiency, and influence from inspection conditions such as light and human subjectivity. This work proposes a low-cost solution to replace manual inspection with classification models to grade Egyptian cotton lint using images captured by a charge-coupled device camera. While this method has been evaluated for classifying US and Chinese upland cotton staples, it has not been tested on Egyptian cotton, which has unique characteristics and grading requirements. Furthermore, the methodology to develop these classification models has been expanded to include image processing techniques that remove the influence of trash on color measurements and extract features that capture the intra-sample variance of the cotton samples. Three different supervised machine learning algorithms were evaluated: artificial neural networks; random forest; and support vector machines. The highest accuracy models (82.13-90.21%) used a random forest algorithm. The models' accuracy was limited by the human error associated with labeling the cotton samples used to develop the classification models. Unsupervised machine learning methods, including k-means clustering, hierarchical clustering, and Gaussian mixture models, were used to indicate where labeling errors occurred.",10.1177/00405175221145571,Digital manufacturing; machine learning; Industry 4; 0; optical imaging; cotton lint; industrial crop,WOS,"An image processing and machine learning solution is developed to automate Egyptian cotton lint grading, achieving high accuracy with Random Forest algorithms and reducing human error in classification.",❌,,✔️,❌
10.1016/j.aej.2023.08.025,Analysis of bitcoin prices using a heavy-tailed version of Dagum distribution and machine learning methods,"Statistical modeling and forecasting are very important for decision-making in any field of life. This paper has two major objectives, namely, statistical modeling and forecasting of real phenomena. For covering the first aim (i.e., statistical modeling), we introduce a new probabilistic model. The new model is introduced by mixing the Dagum distribution with the weighted TX family approach. The proposed model is called the weighted TX Dagum distribution and possesses heavy-tailed characteristics. The new model is illustrated by analyzing real-life data related to Bitcoin prices. To cover the second aim (i.e., forecasting), we take into account six macroeconomic and financial indicators to investigate their impact on Bitcoin prices such as the Adaptive least absolute shrinkage and selection operator (Alasso), elastic net, and minimax concave penalty. After analyzing the data, it is found that Alasso and MCP have retained all the included predictors, except import, while Enet holds all the predictors. The root means square error and mean absolute error associated with MCP are lower than Alasso and Enet, which reveals that MCP fits the data very well as compared to rival methods. © 2023 The Author(s)",10.1016/j.aej.2023.08.025,Bitcoin prices; Dagum distribution; Heavy-tailed characteristics; Machine learning and robust regression methods; Macroeconomic variables,SCOPUS,"Presents a heavy-tailed probabilistic model for Bitcoin price analysis and employs machine learning techniques such as adaptive Lasso and elastic net for accurate forecasting, demonstrating MCP's superior performance.",✔️,Bitcoin,✔️,✔️
1947-5500,Analyzing Different Machine Learning Techniques for Stock Market Prediction,Stock market prediction is one of most challenging issue and attracted attention from many researches and stock market investors. With passing time these stock market prediction techniques are getting better with different machine learning algorithms and investors have started relying on these prediction model proposed by many researchers. Many machine learning techniques for stock market prediction are developed. There are no specifications available that which techniques are optimal or not. Also I will analyze and compare different techniques and will discuss their strength and weakness. I have analyzed how these technique works and compare these techniques with other stock market prediction techniques and explained how some techniques have advantage over others and perform better.,,,Proquest,"The article analyzes and compares various machine learning techniques for predicting stock market prices, discussing their strengths and weaknesses.",✔️,Stock,✔️,❌
10.1109/ACCESS.2023.3334260,Annotators' Selection Impact on the Creation of a Sentiment Corpus for the Cryptocurrency Financial Domain,"Well labeled natural language corpus data is essential for most natural language processing techniques, especially in specialized fields. However, cohort biases remain a significant challenge in machine learning. The narrow origin of data sampling or human annotators in cohorts is a prevalent issue for machine learning researchers due to its potential to induce bias in the final product. During the development of the CryptoLin corpus for another research project, the authors became concerned about the potential influence of cohort bias on the selection of annotators. Therefore, this paper addresses the question of whether cohort diversity improves the labeling result through the implementation of a repeated annotator process, involving two annotator cohorts and a statistically robust comparison methodology. The utilization of statistical tests, such as the Chi-Square Independence test for absolute frequency tables, and the construction of confidence intervals for Kappa point estimates, facilitates a rigorous analysis of the differences between Kappa estimates. Furthermore, the application of a two-proportion z-test to compare the accuracy scores of UTAD and IE annotators for various pre-trained models, including Vader Sentiment Analysis, TextBlob Sentiment Analysis, Flair NLP library, and FinBERT Financial Sentiment Analysis with BERT, contributes to the advancement of knowledge in this field. The paper utilizes Cryptocurrency Linguo (CryptoLin), a corpus containing 2683 cryptocurrency-related news articles spanning more than three years, and compares two different selection criteria for the annotators. CryptoLin was annotated twice with discrete values representing negative, neutral, and positive news respectively. The first annotation was done by twenty-seven annotators from the same cohort. Each news title was randomly assigned and blindly annotated by three human annotators. The second annotation was carried out by eighty-three annotators from three cohorts. Each news title was randomly assigned and blindly annotated by three human annotators, one in each different cohort. In both annotations, a consensus mechanism using simple voting was applied. The first annotation used the same cohort with students from the same nationality and background. The second used three cohorts with students from a very diverse set of nationalities and educational backgrounds. The results demonstrate that manual labeling done by both groups was acceptable according to inter-rater reliability coefficients Fleiss's Kappa, Krippendorff's Alpha, and Gwet's AC1. Preliminary analysis utilizing Vader, Textblob, Flair, and FinBERT confirmed the utility of the data set labeling for further refinement of sentiment analysis algorithms. Our results also highlight that the more diverse annotator pool performed better in all measured aspects. © 2013 IEEE.",10.1109/access.2023.3334260,Annotation; annotator selection criteria; cryptocurrency; labeled data set; news event; news sentiment corpus; NLP,SCOPUS,"Investigates how annotator diversity affects the creation of a sentiment corpus in the cryptocurrency financial domain, utilizing Bayesian methods and sentiment analysis models.",✔️,Cryptocurrency,✔️,✔️
WOS:001062957900001,Application of machine learning in algorithmic investment strategies on global stock markets,"The research undertakes the subject of machine learning based algorithmic investment strategies. Several technical analysis indicators were employed as inputs to machine learning models such as Neural Networks, K Nearest Neighbor, Regression Trees, Random Forests, Naive Bayes classifiers, Bayesian Generalized Linear Models, and Support Vector Machines. Models were used to generate trading signals on WIG20, DAX, S & P500, and selected CEE indices in the period between 200201-01 and 2023-03-31. Strategies were compared with each other and with the benchmark buyand-hold strategy in terms of achieved levels of risk and return. Sensitivity analysis was used to assess the quality of the estimation on independent subsets. The findings of the study showed that algorithmic strategies outperformed passive strategies in terms of risk-adjusted returns and that for the analyzed indices, Linear Support Vector Machine and Bayesian Generalized Linear Model were the best-performing models. The Linear Support Vector Machine was chosen as the model that, on average, produced the best results using a more thorough rank approach based on the outcomes for all examined models and indices.",10.1016/j.ribaf.2023.102052,Algorithmic investment strategies; Machine learning; Neural networks; Regression trees; Random forests; Support vector machine; Technical analysis; Equity stock indices; Developed and emerging markets; Information ratio,WOS,"Develops machine learning-based algorithmic trading strategies using various technical indicators, comparing models like Neural Networks, SVMs, Bayesian GLMs on global indices, finding Linear SVM and Bayesian GLMs as best performers.",✔️,Global Stock Indices,✔️,❌
WOS:000522489000109,Artificial Learning Dispatch Planning with Probabilistic Forecasts: Using Uncertainties as an Asset,"Weather forecast uncertainty is a key element for energy market volatility. By intelligently considering uncertainties on the schedule development, renewable energy systems with storage could improve dispatching accuracy, and therefore, effectively participate in electricity wholesale markets. Deterministic forecasts have been traditionally used to support dispatch planning, representing reduced or no uncertainty information about the future weather. Aiming at better representing the uncertainties involved, probabilistic forecasts have been developed to increase forecasting accuracy. For the dispatch planning, this can highly influence the development of a more precise schedule. This work extends a dispatch planning method to the use of probabilistic weather forecasts. The underlying method used a schedule optimizer coupled to a post-processing machine learning algorithm. This machine learning algorithm was adapted to include probabilistic forecasts, considering their additional information on uncertainties. This post-processing applied a calibration of the planned schedule considering the knowledge about uncertainties obtained from similar past situations. Simulations performed with a concentrated solar power plant model following the proposed strategy demonstrated promising financial improvement and relevant potential in dealing with uncertainties. Results especially show that information included in probabilistic forecasts can increase financial revenues up to 15% (in comparison to a persistence solar driven approach) if processed in a suitable way.",10.3390/en13030616,renewable systems; storage; dispatch; optimization; machine learning; probabilistic forecasts,WOS,"The paper extends dispatch planning methods by integrating probabilistic weather forecasts through machine learning calibration, enabling renewable energy systems to better manage uncertainties and increase financial revenues.",❌,?,✔️,✔️
WOS:000572871900002,Assess deep learning models for Egyptian exchange prediction using nonlinear artificial neural networks,"Financial analysis of the stock market using the historical data is the exigent demand in business and academia. This work explores the efficiency of three deep learning (Dl) techniques, namely Bayesian regularization (BE), Levenberg-Marquardt (lM), and scaled conjugate gradient (SCG), for training nonlinear autoregressive artificial neural networks (NARX) for predicting specifically the closing price of the Egyptian Stock Exchange indices (EGX-30, EGX-30-Capped, EGX-50-EWI, EGX-70, EGX-100, and NIlE). An empirical comparison is established among the experimented prediction models considering all techniques for the time horizon of 1 day, 3 days, 5 days, 7 days, 5 days and 30 days in advance, applying on all the datasets used in this study. For performance evaluation, statistical measures such as mean squared error (MSE) and correlationRare used. From the simulation result, it can be clearly suggested that BR outperforms other models for short-term prediction especially for 3 days ahead. On the other hand, lM generates better prediction accuracy than BR- and SCG-based models for long-term prediction, especially for 7-day prediction.",10.1007/s00521-020-05374-9,Artificial neural networks; Autoregressive; Bayesian regularization; Deep learning; Egyptian stock market; Levenberg-Marquardt; Stock price prediction,WOS,"Evaluates the performance of various deep learning models, including Bayesian regularization and others, in predicting Egyptian Stock Exchange indices over different time horizons.",✔️,Egyptian Stock Exchange Indices,✔️,❌
18419836,Asymptotically Unbiased Estimation of A Nonsymmetric Dependence Measure Applied to Sensor Data Analytics and Financial Time Series,"A fundamental concept frequently applied to statistical machine learning is the detection of dependencies between unknown random variables found from data samples. In previous work, we have introduced a nonparametric unilateral dependence measure based on Onicescu’s information energy and a kNN method for estimating this measure from an available sample set of discrete or continuous variables. This paper provides the formal proofs which show that the estimator is asymptotically unbiased and has asymptotic zero variance when the sample size increases. It implies that the estimator has good statistical qualities. We investigate the performance of the estimator for data analysis applications in sensor data analysis and financial time series.",,,Proquest,The paper introduces an asymptotically unbiased estimator for a nonsymmetric dependence measure and applies it to sensor data analytics and financial time series.,❌,?,❌,❌
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9762322,Attention-Based Neural Bag-of-Features Learning for Sequence Data,"In this paper, we propose 2D-Attention (2DA), a generic attention formulation for sequence data, which acts as a complementary computation block that can detect and focus on relevant sources of information for the given learning objective. The proposed attention module is incorporated into the recently proposed Neural Bag of Feature (NBoF) model to enhance its learning capacity. Since 2DA acts as a plug-in layer, injecting it into different computation stages of the NBoF model results in different 2DA-NBoF architectures, each of which possesses a unique interpretation. We conducted extensive experiments in financial forecasting, audio analysis as well as medical diagnosis problems to benchmark the proposed formulations in comparison with existing methods, including the widely used Gated Recurrent Units. Our empirical analysis shows that the proposed attention formulations can not only improve performances of NBoF models but also make them resilient to noisy data.",10.1109/access.2022.3169776,Data models;Quantization (signal);Neural networks;Feature extraction;Histograms;Hidden Markov models;Visualization;Attention mechanism;neural bag-of-features;time-series analysis,IEEE,"Stock movement prediction using sentiment and financial signals is enhanced with Normalizing Flows, achieving state-of-the-art performance by learning flexible posterior distributions for Tweets and price signals.",✔️,Stock,✔️,✔️
WOS:000461762700005,BAYESIAN ESTIMATION OF STUDENT-T GARCH MODEL USING LINDLEY'S APPROXIMATION,"The dependency of conditional second moments of financial time series is modelled by Generalized Autoregressive conditionally heteroscedastic (GARCH) processes. The maximum likelihood estimation (MLE) procedure is most commonly used for estimating the unknown parameters of a GARCH model. In this study, the parameters of the GARCH models with student-t innovations are discussed for estimations using the Bayesian approach. It is assumed that the parameters of the GARCH model are random variables having known prior probability density functions. Lindley's approximation will be used to estimate the Bayesian estimators since they are not in a closed form. The Bayesian estimators are derived under squared error loss function. Finally, a simulation study is performed in order to compare the ML estimates to the Bayesian ones and in addition to simulations an example is given in order to illustrate the findings. MLE's and Bayesian estimates are compared according to the expected risks in the simulation study which shows that as the sample size increases the expected risks decrease and also it is observed that Bayesian estimates have performed better than MLE 's.",10.24818/18423264/53.1.19.05,GARCH; MLE; Lindley's Approximation; Bayesian Methods; Squared Error,WOS,"This paper presents a Bayesian estimation approach for Student-T GARCH models using Lindley's approximation, demonstrating improved performance over maximum likelihood estimates for financial time series data.",✔️,Various financial time series,❌,❌
WOS:000390831000014,BAYESIAN ESTIMATION OF THE PARAMETERS OF THE ARCH MODEL WITH NORMAL INNOVATIONS USING LINDLEY'S APPROXIMATION,"Autoregressive conditionally heteroscedastic (ARCH) models are used to analyze empirical financial data and capture various stylized facts in financial econometrics. The procedure that is most commonly used for estimating the unknown parameters of an ARCH model is the maximum likelihood estimation (MLE). In this study, it is assumed that the parameters of the ARCH model are random variables having known prior probability density functions, and therefore they will be estimated using Bayesian methods. The Bayesian estimators are not in a closed form, and thus Lindley's approximation will be used to estimate them. The Bayesian estimators are derived under squared error loss (SEL) and linear exponential (LINEX) loss functions. An example is given in order to illustrate the findings and furthermore, Monte Carlo simulations are performed in order to compare the ML estimates to the Bayesian ones. Finally, conclusions. on the findings are given.",,ARCH; QML method; Lindley's Approximation; Bayesian Methods; SEL; LINEX,WOS,"The study employs Bayesian methods, specifically Lindley's approximation, to estimate parameters of ARCH models for financial econometric analysis.",✔️,"Volatility (e.g., Stocks)",❌,✔️
WOS:000887773900001,Bayesian Aggregation Improves Traditional Single-Image Crop Classification Approaches,"Accurate information about growing crops allows for regulating the internal stocks of agricultural products and drawing strategies for negotiating agricultural commodities on financial markets. Machine learning methods are widely implemented for crop type recognition and classification based on satellite images. However, field classification is complicated by class imbalance and aggregation of pixel-wise into field-wise forecasting. We propose here a Bayesian methodology for the aggregation of classification results. We report the comparison of class balancing techniques. We also report the comparison of classical machine learning methods and the U-Net convolutional neural network for classifying crops using a single satellite image. The best result for single-satellite-image crop classification was achieved with an overall accuracy of 77.4% and a Macro F1-score of 0.66. Bayesian aggregation for field-wise classification improved the result obtained using majority voting aggregation by 1.5%. We demonstrate here that the Bayesian aggregation approach outperforms the majority voting and averaging strategy in overall accuracy for the single-image crop classification task.",10.3390/s22228600,crop classification; unbalanced classes problem; pixel-wise aggregation,WOS,"Proposes a Bayesian aggregation method to improve single-image crop classification, enhancing overall accuracy for agricultural forecasting.",❌,?,✔️,❌
10835547,Bayesian REIT Volatility Estimation and Institutional Portfolio Allocation,"Volatility estimation is an integral part of institutional finance with applications in risk management and portfolio allocation. Real estate investment trust volatility is examined using a Bayesian asymmetric GARCH model and is found to better estimate the true volatility series than does the traditional maximum likelihood approach. This paper discusses the shortfalls of maximum likelihood (ML) estimation and the advantages of the Bayesian estimation, particularly to real estate. Conditional variance estimation uncertainty is found to increase with volatility. A portfolio allocation problem highlights that the Bayesian approach performed better than the ML method in preserving capital. [PUBLICATION ABSTRACT]",,,Proquest,The paper utilizes a Bayesian asymmetric GARCH model to estimate real estate investment trust (REIT) volatility and demonstrates its superiority over traditional maximum likelihood methods for portfolio allocation.,✔️,REIT,❌,✔️
2-s2.0-58049216446,Bayesian REIT volatility estimation and institutional portfolio allocation,"Volatility estimation is an integral part of institutional finance with applications in risk management and portfolio allocation. Real estate investment trust volatility is examined using a Bayesian asymmetric GARCH model and is found to better estimate the true volatility series than does the traditional maximum likelihood approach. This paper discusses the shortfalls of maximum likelihood (ML) estimation and the advantages of the Bayesian estimation, particularly to real estate. Conditional variance estimation uncertainty is found to increase with volatility. A portfolio allocation problem highlights that the Bayesian approach performed better than the ML method in preserving capital.",,,SCOPUS,The paper utilizes a Bayesian asymmetric GARCH model to estimate real estate investment trust (REIT) volatility and demonstrates its superiority over traditional maximum likelihood methods for portfolio allocation.,✔️,REIT,❌,✔️
WOS:000073291400005,Bayesian analysis of a change-point in exponential families with applications,"A Bayesian analysis is used to detect a change-point in a sequence of independent random variables from exponential family distributions. The conjugate priors for the exponential families are considered in the analysis. The marginal posterior distribution of the change-point j is derived. Since some hyper-parameters are involved in the conjugate priors, the Type II maximum likelihood (ML-II) approach (cf. Berger, 1995) will be used to estimate these hyperparameters in applications. The method is simple and is easily applied to the Nile problem, Illinois traffic data, British coal-mining disasters, accident data and stock-market prices. (C) 1998 Elsevier Science B.V. All rights reserved.",10.1016/s0167-9473(98)00009-7,change-point; conjugate prior; ML-II approach; posterior distribution,WOS,"Introduces a Bayesian method to detect change-points in sequences from exponential family distributions, applied to stock-market prices among other datasets.",✔️,Stock Market Prices,❌,✔️
WOS:000937700000001,Bayesian bilinear neural network for predicting the mid-price dynamics in limit-order book markets,"The prediction of financial markets is a challenging yet important task. In modern electronically driven markets, traditional time-series econometric methods often appear incapable of capturing the true complexity of the multilevel interactions driving the price dynamics. While recent research has established the effectiveness of traditional machine learning (ML) models in financial applications, their intrinsic inability to deal with uncertainties, which is a great concern in econometrics research and real business applications, constitutes a major drawback. Bayesian methods naturally appear as a suitable remedy conveying the predictive ability of ML methods with the probabilistically oriented practice of econometric research. By adopting a state-of-the-art second-order optimization algorithm, we train a Bayesian bilinear neural network with temporal attention, suitable for the challenging time-series task of predicting mid-price movements in ultra-high-frequency limit-order book markets. We thoroughly compare our Bayesian model with traditional ML alternatives by addressing the use of predictive distributions to analyze errors and uncertainties associated with the estimated parameters and model forecasts. Our results underline the feasibility of the Bayesian deep-learning approach and its predictive and decisional advantages in complex econometric tasks, prompting future research in this direction.",10.1002/for.2955,Bayesian neural networks; bilinear neural network; financial time-series classification; limit-order book,WOS,"The study introduces a Bayesian bilinear neural network with temporal attention for predicting mid-price dynamics in limit-order book markets, providing uncertainty estimates alongside predictions.",✔️,Mid-price in limit-order book markets,✔️,✔️
WOS:000247439500009,Bayesian inference for the mixed conditional heteroskedasticity model,"We estimate by Bayesian inference the mixed conditional heteroskedasticity model of Haas et al. (2004a Journal of Financial Econometrics 2, 211-50). We construct a Gibbs sampler algorithm to compute posterior and predictive densities. The number of mixture components is selected by the marginal likelihood criterion. We apply the model to the SP500 daily returns.",10.1111/j.1368-423x.2007.00213.x,Bayesian inference; finite mixture; ML estimation; value at risk,WOS,The article estimates a mixed conditional heteroskedasticity model using Bayesian inference applied to SP500 daily returns.,✔️,S&P 500 Index,✔️,✔️
WOS:000668791400038,Bayesian neural networks for stock price forecasting before and during COVID-19 pandemic,"Recently, there has been much attention in the use of machine learning methods, particularly deep learning for stock price prediction. A major limitation of conventional deep learning is uncertainty quantification in predictions which affect investor confidence. Bayesian neural networks feature Bayesian inference for providing inference (training) of model parameters that provides a rigorous methodology for uncertainty quantification in predictions. Markov Chain Monte Carlo (MCMC) sampling methods have been prominent in implementing inference of Bayesian neural networks; however certain limitations existed due to a large number of parameters and the need for better computational resources. Recently, there has been much progress in the area of Bayesian neural networks given the use of Langevin gradients with parallel tempering MCMC that can be implemented in a parallel computing environment. The COVID-19 pandemic had a drastic impact in the world economy and stock markets given different levels of lockdowns due to rise and fall of daily infections. It is important to investigate the performance of related forecasting models during the COVID-19 pandemic given the volatility in stock markets. In this paper, we use novel Bayesian neural networks for multi-step-ahead stock price forecasting before and during COVID-19. We also investigate if the pre-COVID-19 datasets are useful of modelling stock price forecasting during COVID-19. Our results indicate due to high volatility in the stock-price during COVID-19, it is more challenging to provide forecasting. However, we found that Bayesian neural networks could provide reasonable predictions with uncertainty quantification despite high market volatility during the first peak of the COVID-19 pandemic.",10.1371/journal.pone.0253217,,WOS,"Utilizes Bayesian neural networks for multi-step-ahead stock price forecasting before and during the COVID-19 pandemic, emphasizing uncertainty quantification.",✔️,Stock,✔️,✔️
WOS:000502225300001,Bayesian predictive analysis for Weibull-Pareto composite model with an application to insurance data,"Aminzadeh and Deng, respectively provide Bayesian predictive models for Exponential-Pareto and Inverse Gamma-Pareto composite distributions which are one-parameter models. The purpose of this article is to develop an alternative Bayesian predictive model (two-parameter) which can be used to compute important risk measures that are not defined via the above predictive models. Bayesian predictive density for the Weibull-Pareto composite distribution is developed and is used to compute risk measures such as Value at Risk (VaR), Conditional Tail Expectation (CTE), Predictive Expectation (PE), Limited Predictive Expected value (LPE), Limited Predictive Variance (LPV), and Limited Predictive Tail-VaR (LPCTE). Accuracy of parameter estimates as well as the risk measures are assessed via simulation studies. It is shown that the informative Bayes estimates are consistently more accurate than ML and the non-informative Bayes estimates. Backtesting for the risk measures is performed and goodness-of-fit of Weibull-Pareto among other composite models to the Danish fire data is assessed.",10.1080/03610918.2019.1699572,Conditional tail expectation; Gamma and inverse-gamma priors; Predictive density; Value at risk; Weibull-Pareto composite model,WOS,"A Bayesian predictive analysis for Weibull-Pareto composite models is developed for insurance data, enabling the calculation of risk measures like VaR and CTE.",❌,Insurance Data,✔️,✔️
WOS:000398964300009,Bayesian regularisation neural network based on artificial intelligence optimisation,"Stock prediction is generally considered to be challenging and known for its high noise and strong nonlinearities in financial time series analysis. However, current forecasting models ignore the importance of model parameter optimisation and the use of recent data. In this article, a novel forecasting approach with a Bayesian-regularised artificial neural networks (BR-ANN) was proposed. The weight of the proposed model (BR-ANN) is determined by the particle swarm optimisation (PSO) algorithm. Daily market prices and financial technical indicators are utilised as inputs to predict the one day future closing price of the Shanghai (in China) composite index. The Bayesian-regularised network uses a probabilistic nature for the network weights and can reduce the potential for over-fitting and over-training. Our empirical study and the results of our K-line theory analysis indicate that PSO is determined to be an effective algorithm to optimise the parameters of the Bayesian neural network compared with other well-known prediction algorithms. In particular, the PSO model is more reliable than the simple Bayesian regularisation neural network near the local maximum value.",10.1080/00207543.2016.1237785,neural networks; Bayesian methods; PSO; over-fitting; local weights; K-line,WOS,"The article proposes a Bayesian-regularized neural network optimized via particle swarm optimization for forecasting the Shanghai Composite Index, demonstrating improved reliability over traditional methods.",✔️,Shanghai Composite Index,✔️,❌
WOS:000381841900007,Binomial Markov-Switching Multifractal model with Skewed t innovations and applications to Chinese SSEC Index,"This paper presents the Binomial Markov-switching Multifractal (BMSM) model of asset returns with Skewed t innovations (BMSM-Skewed t for short), which considers the fat tails, skewness and multifractality in asset returns simultaneously. The parameters of BMSM-Skewed t model can be estimated by Maximum Likelihood (ML) methods, and volatility forecasting can be accomplished via Bayesian updating. In order to evaluate the performance of BMSM-Skewed t model, BMSM model with Normal innovations (BMSM-N), BMSM model with Student-t innovations (BMSM-t) and GARCH(1,1) models (GARCH-N, GARCH-t and GARCH-Skewed t) are chosen for comparison. Through empirical studies on Shanghai Stock Exchange Composite Index (SSEC), we find that for sample estimation, BMSM models outperform the GARCH(1,1) models through BIC and AIC rules, and BMSM-Skewed t performs the best among all the models due to its fat tails, skewness and multifractality. In addition, BMSM-Skewed t model dominates other models at most forecasting horizons for out-of-sample volatility forecasts in terms of MSE, MAE and SPA test. (C) 2016 Elsevier B.V. All rights reserved.",10.1016/j.physa.2016.06.014,BMSM models; Volatility forecasting; Skewed t innovations,WOS,"This paper introduces a Binomial Markov-Switching Multifractal model with skewed t innovations for the Chinese SSEC Index, demonstrating superior in-sample and out-of-sample forecasting performance compared to traditional GARCH models through empirical analysis.",✔️,Chinese SSEC Index,❌,✔️
10.1002/sta4.70001,Bitcoin Price Prediction Using Deep Bayesian LSTM With Uncertainty Quantification: A Monte Carlo Dropout–Based Approach,"Bitcoin, being one of the most triumphant cryptocurrencies, is gaining increasing popularity online and is being used in a variety of transactions. Recently, research on Bitcoin price predictions is receiving more attention, and researchers have investigated the various state-of-the-art machine learning (ML) and deep learning (DL) models to predict Bitcoin price. However, despite these models providing promising predictions, they consistently exhibit uncertainty, which cannot be adequately quantified by classical ML models alone. Motivated by the enormous success of applying Bayesian approaches in several disciplines of ML and DL, this study aims to use Bayesian methods alongside Long Short-Term Memory (LSTM) to predict the closing Bitcoin price and consequently measure the uncertainty of the prediction model. Specifically, we adopted the Monte Carlo dropout (MC-Dropout) method with the Bayesian LSTM model to quantify the epistemic uncertainty of the model's predictions and provided confidence intervals for the predicted outputs. Experimental results showed that the proposed model is efficient and outperforms other state-of-the-art models in terms of root mean square error (RMSE), mean absolute error (MAE) and R2. Thus, we believe that these models may assist the investors and traders in making critical decisions based on short-term predictions of Bitcoin price. This study illustrates the potential benefits of utilizing Bayesian DL approaches in time series analysis to improve data prediction accuracy and reliability. © 2024 John Wiley & Sons Ltd.",10.1002/sta4.70001,Bayesian inference; Bitcoin; deep learning; LSTM; MC-Dropout,SCOPUS,"Develops a Deep Bayesian LSTM model with Monte Carlo dropout to predict Bitcoin prices, effectively quantifying uncertainty and surpassing state-of-the-art models in prediction accuracy and reliability.",✔️,Bitcoin price,✔️,✔️
