"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Stage Volt/VAR Support in Distribution Grids: Risk-Aware Scheduling With Real-Time Reinforcement Learning Control","M. Mansourlakouraj; M. Gautam; H. Livani; M. Benidris","Department of Electrical and Biomedical Engineering, University of Nevada, Reno, Reno, NV, USA; Department of Electrical and Biomedical Engineering, University of Nevada, Reno, Reno, NV, USA; Department of Electrical and Biomedical Engineering, University of Nevada, Reno, Reno, NV, USA; Department of Electrical and Biomedical Engineering, University of Nevada, Reno, Reno, NV, USA",IEEE Access,"8 Jun 2023","2023","11","","54822","54838","The ever-increasing penetration of intermittent renewable resources in low-voltage power grids necessitates efficient operational strategies for voltage regulation as well as power scheduling of the available resources. In this paper, a risk-aware Volt/VAR support framework followed by a real-time reinforcement learning controller is presented for three-phase distribution systems. In the risk-aware stochastic scheduling stage, the legacy voltage regulating assets along with inverter-based photovoltaics (PVs) and energy storage system (ESS) are optimized considering day-ahead and intra-day markets. Moreover, demand response (DR) and voltage reduction plans are included in the proposed scheduling framework. By incorporating voltage-dependent load modeling in this study, the implementation of the voltage reduction plan reduces energy consumption in feeders by running the network at lower permissible voltage limits. The shiftable loads under the DR program are employed for peak shaving and to reduce operational costs. The result shows that DR implementation also reduces dependencies on the operation of traditional devices. The stochasticity of abrupt changes in PV generations is represented as the Gaussian Mixture Model (GMM), indicating a non-unimodal probability distribution in day-ahead PV forecasting errors. The scenario sets for uncertain variables are then reduced using a fuzzy clustering technique. Decisions made in the scheduling, associated with PV inverters and ESS operation, are revised with a real-time controller, i.e., Deep Deterministic Policy Gradient (DDPG) reinforcement learning. The DDPG is adopted in the control stage of the framework considering the detailed modeling of unbalanced three-phase distribution grids to minimize the voltage deviation and power ramping of ESS. The performance of the proposed multi-stage scheme is verified using a three-phase active distribution grid under different scenarios.","2169-3536","","10.1109/ACCESS.2023.3280558","U.S. Department of Energy’s Office of Energy Efficiency and Renewable Energy (EERE)(grant numbers:DE-EE0009022); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138373","Demand response program;Gaussian mixture model;reinforcement learning;risk-aware scheduling;Volt/VAR support","Voltage control;Real-time systems;Optimization;Uncertainty;Stochastic processes;Load modeling;Inverters;Reactive power;Demand response;Gaussian processes;Reinforcement learning","","4","","62","CCBY","29 May 2023","","","IEEE","IEEE Journals"
"Day-Ahead Electricity Price Forecasting in the Contemporary Italian Market","F. Moraglio; C. S. Ragusa","Dipartimento di Energia “Galileo Ferraris,” Politecnico di Torino, Turin, Italy; Dipartimento di Energia “Galileo Ferraris,” Politecnico di Torino, Turin, Italy",IEEE Access,"27 May 2024","2024","12","","72062","72078","In competitive electricity markets, prices are determined by the collective behaviour of suppliers and consumers. Hence, these systems rely on the balance between supply and demand, and sudden changes in the underlying conditions can lead to significant price fluctuations. In the face of the recent transformations in Italian electricity markets, which are driven by an increasing share of non-programmable renewables, energy crises, and geopolitical tensions, our study focuses on effective forecasting methodologies. We compare kernel and linear regression for predicting market equilibrium prices, both in point and probabilistic sense. We showcase the potential of both linear and non-linear models when carefully engineering the problem of interest, which involves properly selecting data and variables. The noteworthy outcome is that, while linear and non-linear models may differ in nature, their performance converges closely, attesting to the robustness of our approach in achieving reliable forecasts. We describe data sources and assumptions in exploratory univariate analyses, and the performance of the final multivariate model is evaluated over a test period on September 2023.","2169-3536","","10.1109/ACCESS.2024.3403422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10535174","Electricity supply industry;forecasting;economic forecasting;nonparametric statistics;linear approximation;probability;probability density function","Forecasting;Electricity;Predictive models;Kernel;Data models;Electricity supply industry;Computational modeling;Economics;Statistics;Linear approximation;Probabilistic logic","","","","28","CCBY","20 May 2024","","","IEEE","IEEE Journals"
"Online Sequential Extreme Learning Machine Algorithm for Better Predispatch Electricity Price Forecasting Grids","C. Xiao; D. Sutanto; K. M. Muttaqi; M. Zhang; K. Meng; Z. Y. Dong","School of Electrical, Computer and Telecommunications Engineering, University of Wollongong, NSW, Australia; School of Electrical, Computer and Telecommunications Engineering, University of Wollongong, NSW, Australia; School of Electrical, Computer and Telecommunications Engineering, University of Wollongong, NSW, Australia; School of Computer Science and Software Engineering, University of Wollongong, Wollongong, NSW, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales, Sydney, NSW, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales, Sydney, NSW, Australia",IEEE Transactions on Industry Applications,"18 Mar 2021","2021","57","2","1860","1871","The predispatch price forecast plays a key element in the electricity market. However, such a forecast usually depends on the traditional offline batch-learning technologies, which cannot respond in time to the unexpected changes in the local power system environment. Further, the predispatch local price forecast is often affected by the dynamic price changes from the neighboring regions. This article proposes a novel online learning forecast approach to overcome the above issues to provide a better predispatch price forecast by using the online sequential extreme learning machine (OS-ELM) algorithm. The article proposes a novel data structure in the form of a 2-D orthogonal list and two corresponding OS-ELM modules. One module provides the rolling day-ahead price prediction and prediction intervals using the day-by-day online training update, while the other provides the rolling 30-min prediction using the 2-h-by-2-h online training update. The proposed approach can continuously perceive any unexpected events and any price fluctuations from the neighboring regions in the nonlinear patterns. The proposed approach is validated using simulation studies based on the data from the Australian electricity market, and the simulation results show that the proposed approach can help in improving the forecast accuracy, especially when unexpected changes occur both locally and in the neighboring area.","1939-9367","","10.1109/TIA.2021.3051105","Australian Research Council(grant numbers:LP0991428); ARC Discovery Project(grant numbers:DP140100974); ARC Research Hub for Integrated Energy Storage Solutions(grant numbers:IH180100020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9320514","Electricity market;electricity price;extreme learning machine;online training;regression analysis","Training;Forecasting;Electricity supply industry;Uncertainty;Prediction algorithms;Extreme learning machines;Artificial neural networks","","16","","37","IEEE","12 Jan 2021","","","IEEE","IEEE Journals"
"Prospective Portfolio Optimization With Asset Preselection Using a Combination of Long and Short Term Memory and Sharpe Ratio Maximization","F. Abdi; S. Abolmakarem; A. Karbassi Yazdi; Y. Tan; I. Andrés Marchioni Choque","Department of Industrial Engineering South-Tehran Branch, Islamic Azad University, Tehran, Iran; Department of Industrial Engineering South-Tehran Branch, Islamic Azad University, Tehran, Iran; Departamento de Ingenieria Industrial y de Sistemas, Facultad de Ingenieria, Universidad de Tarapaca, Arica, Chile; School of Management, University of Bradford, Bradford, U.K.; Departamento de Ingenieria Industrial y de Sistemas, Facultad de Ingenieria, Universidad de Tarapaca, Arica, Chile",IEEE Access,"10 Oct 2024","2024","12","","144280","144294","This research presents a novel portfolio optimization model that incorporates asset preselection. This model aims to demonstrate how using Long and Short-Term Memory and Sharpe Ratio Maximization can enhance the efficiency of portfolios.The suggested approach consists of three stages, each with practical applications. During the initial phase, the data is gathered. In the second phase, the LSTM network, a commonly employed tool in predicting stock price movements, is utilized to anticipate the time series of stock closing prices. The third stage of the process focuses on stock selection and determining the appropriate weighting for each stock in the portfolio. The proposed approach is tested and carefully validated using the daily closing prices of ten equities from the FTSE 100. The results demonstrate the model’s resilience and efficacy, as the portfolios generated using the anticipated and validation data exhibit high similarity. Given the importance of selecting the right stocks for portfolio optimization, this study will combine asset preselection with portfolio weighting. Furthermore, this study utilized a Long Short-Term Memory network to forecast the optimization model’s parameters accurately and introduced a novel portfolio optimization model.","2169-3536","","10.1109/ACCESS.2024.3466829","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10689666","Asset pre-selection;long short-term memory;stock prediction;portfolio optimization;Sharpe ratio;cardinality","Portfolios;Optimization;Long short term memory;Predictive models;Investment;Forecasting;Data models;Stock markets","","","","28","CCBYNCND","24 Sep 2024","","","IEEE","IEEE Journals"
"A Nonlinear Autoregressive Exogenous (NARX) Neural Network Model for the Prediction of Timestamp Influence on Bitcoin Value","N. Aljojo; A. Alshutayri; E. Aldhahri; S. Almandeel; A. Zainol","Information System and Technology Department, College of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Computer Science and Artificial Intelligence, College of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Computer Science and Artificial Intelligence, College of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Department of Business Administration, Faculty of Economics and Administration, King Abdulaziz University, Jeddah, Saudi Arabia; Software Engineering Department, College of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia",IEEE Access,"9 Nov 2021","2021","9","","148611","148624","The transaction and market of bitcoin is volatile, meaning it’s uncertain because it changes frequently. There have been a number of research studies that have presented bitcoin price prediction models, but none of them have looked at the controlling variables linked with bitcoin transaction timestamps. It might be that price is not the only key criteria influencing bitcoin transactions, or the available model for bitcoin price prediction is yet to consider timestamp as a determining factor in its transaction. A better and more accurate model would be required to predict how the Timestamp influences changes of bitcoin transactions. That is why this current study utilized a Nonlinear Autoregressive Exogenous (NARX) Neural Network Model for the prediction of timestamp influence on Bitcoin value. Bitcoin historical datasets which are converted to a nonlinear regression into a “well-formulated” statistical problem in the manner of a ridge regression are used. Simulation analysis indicates that bitcoin digital currency’s performance variation is highly influenced by its transaction timestamp with the prediction accuracy of 96%. The contributions of this research lies with the fact that specific Bitcoin transaction events repeat themselves over and over again, meaning that the Open-Price, High-Price, Low-Price, and Close-Price of Bitcoin price over timestamp developed a pattern that was predicted by NARX with less That means those involved in the transaction of bitcoin at the wrong timestamp will certainly face the uncertainty negative effect of the bitcoin market.","2169-3536","","10.1109/ACCESS.2021.3124629","Deanship of Scientific Research (DSR), University of Jeddah, Jeddah(grant numbers:UJ-20-121-DR); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9597552","Bitcoin (digital currency);volume of BTC;bitcoin;timestamp","Bitcoin;Predictive models;Uncertainty;Bayes methods;Online banking;Computer science;Social networking (online)","","5","","57","CCBY","1 Nov 2021","","","IEEE","IEEE Journals"
"Adaptive Temporal-Frequency Network for Time-Series Forecasting","Z. Yang; W. Yan; X. Huang; L. Mei","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Cyber Physical System R&D Center, The Third Research Institute of Ministry of Public Security, China",IEEE Transactions on Knowledge and Data Engineering,"8 Mar 2022","2022","34","4","1576","1587","A novel adaptive temporal-frequency network (ATFN), which is an end-to-end hybrid model incorporating deep learning networks and frequency patterns, is proposed for mid- and long-term time series forecasting. Within the framework of the ATFN, an augmented sequence to sequence model is used to learn the trend feature of complicated nonstationary time series, a frequency-domain block is used to capture dynamic and complicated periodic patterns of time series data, and a fully connected neural network is used to combine the trend and periodic features for producing a final forecast. An adaptive frequency mechanism consisting of phase adaption, frequency adaption, and amplitude adaption is designed for mapping the frequency spectrum of the current sliding window to that of the forecasting interval. The multilayer neural networks conduct a transformation similar to the inverse discrete Fourier transform for generating a periodic feature forecast. Synthetic data and real-world data with different periodic characteristics are used to evaluate the effectiveness of the proposed model. The experimental results indicate that the ATFN has promising performance and strong adaptability for long-term time-series forecasting.","1558-2191","","10.1109/TKDE.2020.3003420","China National R&D Key Research Program(grant numbers:2019YFB1705702); National Natural Science Foundation of China(grant numbers:60974119,61533013); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9120214","Adaptive frequency;deep learning;long-term forecasting;recurrent neural networks;time-series prediction","Forecasting;Predictive models;Time series analysis;Adaptation models;Time-frequency analysis;Autoregressive processes","","15","","43","IEEE","18 Jun 2020","","","IEEE","IEEE Journals"
"Enhancing Stock Portfolios for Enterprise Management and Investment in Energy Industry","U. Ahmed; J. C. -W. Lin; G. Srivastava; U. Yun","Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, Norway; Department of Computer Science, Electrical Engineering and Mathematical Sciences, Western Norway University of Applied Sciences, Bergen, Norway; Department of Mathematics and Computer Science, Brandon University, Brandon, Canada; Department of Computer Engineering, Sejong University, Gwangjin-gu, Korea",IEEE Transactions on Industrial Informatics,"24 May 2023","2023","19","6","7667","7675","Renewable energy is critical to the energy industry, even more so given the recent surge in oil and gas prices. As a result, the oil and gas sector is constantly preparing for the coming energy transition. This raises the question of when the oil and gas industry should invest in renewable energy sources. This article examines the history of oil company involvement in renewable energy to address this question. It also establishes and quantifies a relationship between renewable energy investment and oil and gas prices, followed by a projection of renewable energy investment based on oil and gas prices. A decision support system based on crude oil prices and renewable energy stocks is developed to predict renewable energy investment decisions. According to the experiments, the prediction model used provides favorable mean square values compared to other models. An algorithm based on the price of oil determines whether to invest in shares of renewable energy companies. The performance of a company is evaluated based on its expected profitability.","1941-0050","","10.1109/TII.2022.3214518","Høgskulen på Vestlandet(grant numbers:2930010-10); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919398","Classification;decision support system;forecasting;portfolio management;renewable energy","Oils;Renewable energy sources;Forecasting;Predictive models;Companies;Portfolios;Probabilistic logic","","3","","23","IEEE","14 Oct 2022","","","IEEE","IEEE Journals"
"Model Risk for European-Style Stock Index Options","R. Gencay; R. Gibson","Department of Economics, Simon Fraser University, Burnaby, BC, Canada; National Centre of Competence by the Research (NCCR) FINRISK, Swiss Banking Institute, University of Zurich, Zurich, Switzerland",IEEE Transactions on Neural Networks,"2 Jan 2007","2007","18","1","193","202","In empirical modeling, there have been two strands for pricing in the options literature, namely the parametric and nonparametric models. Often, the support for the nonparametric methods is based on a benchmark such as the Black-Scholes (BS) model with constant volatility. In this paper, we study the stochastic volatility (SV) and stochastic volatility random jump (SVJ) models as parametric benchmarks against feedforward neural network (FNN) models, a class of neural network models. Our choice for FNN models is due to their well-studied universal approximation properties of an unknown function and its partial derivatives. Since the partial derivatives of an option pricing formula are risk pricing tools, an accurate estimation of the unknown option pricing function is essential for pricing and hedging. Our findings indicate that FNN models offer themselves as robust option pricing tools, over their sophisticated parametric counterparts in predictive settings. There are two routes to explain the superiority of FNN models over the parametric models in forecast settings. These are nonnormality of return distributions and adaptive learning","1941-0093","","10.1109/TNN.2006.883005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4049819","Extreme tail events;feedforward neural networks (FNNs);nonparametric methods;option pricing;risk exposure","Pricing;Stochastic processes;Neural networks;Feedforward neural networks;Predictive models;Parametric statistics;Councils;Computer crashes;Robustness;Tail","Algorithms;Artificial Intelligence;Computer Simulation;Decision Support Techniques;Europe;Game Theory;Investments;Models, Economic;Risk Assessment","30","","27","IEEE","2 Jan 2007","","","IEEE","IEEE Journals"
"On Confidence Sequences for Bounded Random Processes via Universal Gambling Strategies","J. J. Ryu; A. Bhatt","Department of Electrical and Computer Engineering, UC San Diego, San Diego, CA, USA; Department of Electrical and Computer Engineering, UC San Diego, San Diego, CA, USA",IEEE Transactions on Information Theory,"17 Sep 2024","2024","70","10","7143","7161","This paper considers the problem of constructing a confidence sequence, which is a sequence of confidence intervals that hold uniformly over time, for estimating the mean of bounded real-valued random processes. This paper revisits the gambling-based approach established in the recent literature from a natural two-horse race perspective, and demonstrates new properties of the resulting algorithm induced by Cover (1991)’s universal portfolio. The main result of this paper is a new algorithm based on a mixture of lower bounds, which closely approximates the performance of Cover’s universal portfolio with constant per-round time complexity. A higher-order generalization of a lower bound on a logarithmic function in (Fan et al., 2015), which is developed as a key technique for the proposed algorithm, may be of independent interest.","1557-9654","","10.1109/TIT.2024.3448461","National Science Foundation(grant numbers:CCF-1911238); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10645704","Confidence sequences;time-uniform confidence intervals;gambling;universal portfolios","Vectors;Games;Portfolios;Stochastic processes;Complexity theory;Stock markets;Standards","","","","33","IEEE","23 Aug 2024","","","IEEE","IEEE Journals"
"Robust Resource Allocation for Vehicular Communications With Imperfect CSI","W. Wu; R. Liu; Q. Yang; T. Q. S. Quek","State Key Laboratory of Integrated Services Network (ISN), School of Telecommunications Engineering, Xidian University, Xi’an, China; School of Information and Control Engineering, Xi’an University of Architecture and Technology, Xi’an, China; State Key Laboratory of Integrated Services Network (ISN), School of Telecommunications Engineering, Xidian University, Xi’an, China; Information Systems Technology and Design (ISTD) Pillar, Singapore University of Technology and Design, Singapore",IEEE Transactions on Wireless Communications,"9 Sep 2021","2021","20","9","5883","5897","The resource allocation in vehicle-to-everything (V2X) communications face a great challenge for satisfying the heterogeneous quality of service (QoS) requirements of the ultra-reliable safety-related services and the minimum throughput required entertainment services, due to the channel uncertainties caused by high mobility. In this paper, we first consider an optimistic scenario where the distribution of uncertain channel state information (CSI) can be deterministic and accurately known at the eNB. Then, a low-complexity resource allocation approach is developed, in which the probabilistic QoS constraint of V2V is transformed into a computable optimization constraint. To deal with the scenario with unknown uncertain CSI distribution, we develop a distributionally robust resource allocation approach for converting the intractable chance constraint of V2V into a deterministic semidefinite constraint based only on the first- and second-order moments of uncertain CSI. For alleviating the conservatism of above approach, a support-based distributionally robust resource allocation approach is developed to tighten the semidefinite constraint by utilizing the support information of uncertain CSI. Finally, we conduct simulations to show that the effectiveness of the proposed approaches outperforms other state-of-art approaches.","1558-2248","","10.1109/TWC.2021.3070894","NSF China(grant numbers:61801365,61701365,61971327); China Postdoctoral Science Foundation(grant numbers:2018M643581); Young Talent Fund of University Association for Science and Technology of Shaanxi Province(grant numbers:20200112); Natural Science Foundation of Shaanxi Province(grant numbers:2020JQ-686); Postdoctoral Foundation of Shaanxi Province; MOE ARF Tier 2(grant numbers:T2EP20120-0006); SUTD Growth Plan Grant for AI; Key Project of Ningbo(grant numbers:2019B10081); Fundamental Research Funds for the Central Universities of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9400748","V2X communications;resource allocation;distributionally robust optimization;chance constraint;uncertain channel","Resource management;Quality of service;Channel estimation;Optimization;Interference;Signal to noise ratio;Fading channels","","18","","34","IEEE","12 Apr 2021","","","IEEE","IEEE Journals"
"A Latent Factor-Based Bayesian Neural Networks Model in Cloud Platform for Used Car Price Prediction","J. Huang; S. N. Saw; W. Feng; Y. Jiang; R. Yang; Y. Qin; L. S. Seng","Faculty of Computer Science and Information Technology, Universiti Malaya, Kuala Lumpur, Malaysia; Faculty of Computer Science and Information Technology, Universiti Malaya, Kuala Lumpur, Malaysia; Department of Economic and Management, Faculty of FinTech, Fuzhou University Zhicheng College, Fuzhou, China; Faculty of Business and Economics, Universiti Malaya, Kuala Lumpur, Malaysia; Annoland Technology PTE.LTD, Singapore; Annoland Technology PTE.LTD, Singapore; Annoland Technology PTE.LTD, Singapore",IEEE Transactions on Engineering Management,"7 Aug 2024","2024","71","","12487","12497","The selling price of a used car can be predicted based on its historical information. Accurate and reasonable used car price evaluation will be able to promote the healthy progress of the used car industry. Current used car price prediction models are troubled by data quality and the inability to provide estimates of uncertain information, and the prediction accuracy cannot meet the needs of real-world scenarios. In this work, we propose a price prediction model based on a Bayesian neural networks with latent factor (LFBNN) in a cloud platform, which is capable of performing latent factor extraction operations on structured data of used cars as a way to remove the effect of noise in the dataset on the model performance. Moreover, the weight parameters of the Bayesian neural networks (NNs) are represented as probability distributions, which is equivalent to introducing uncertainty and acting as a regularization effect compared to a NN with fixed weights, thus making it possible to alleviate the overfitting problem. The LFBNN model uses a cloud platform for data transmission and storage, enabling it to run faster. Compared with the current benchmark models, the model proposed in this work achieves excellent experimental results on two real datasets. The experimental results on the $Car_{1}$ dataset are 1.498 for mse, 1.224 for rmse, and 0.995 for MAE, and 1.519 for mse, 1.232 for rmse, and 1.002 for MAE on the $Car_{2}$ dataset.","1558-0040","","10.1109/TEM.2023.3270301","Fujian Provincial First-Class Undergraduate Major: Financial Engineering(grant numbers:ZJ2107); Fujian Provincial University Education and Teaching Reform Research(grant numbers:ZJ2128); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138772","Bayesian neural networks (NNs);latent factor;price prediction model;used car","Automobiles;Predictive models;Bayes methods;Artificial neural networks;Data models;Data mining;Mathematical models","","2","","31","IEEE","31 May 2023","","","IEEE","IEEE Journals"
"An Empirical Study on Modeling and Prediction of Bitcoin Prices With Bayesian Neural Networks Based on Blockchain Information","H. Jang; J. Lee","Department of Industrial Engineering, Seoul National University, Seoul, South Korea; Department of Industrial Engineering, Seoul National University, Seoul, South Korea",IEEE Access,"21 Feb 2018","2018","6","","5427","5437","Bitcoin has recently attracted considerable attention in the fields of economics, cryptography, and computer science due to its inherent nature of combining encryption technology and monetary units. This paper reveals the effect of Bayesian neural networks (BNNs) by analyzing the time series of Bitcoin process. We also select the most relevant features from Blockchain information that is deeply involved in Bitcoin's supply and demand and use them to train models to improve the predictive performance of the latest Bitcoin pricing process. We conduct the empirical study that compares the Bayesian neural network with other linear and non-linear benchmark models on modeling and predicting the Bitcoin process. Our empirical studies show that BNN performs well in predicting Bitcoin price time series and explaining the high volatility of the recent Bitcoin price.","2169-3536","","10.1109/ACCESS.2017.2779181","National Research Foundation of Korea Grant through the Korean Government (MEST)(grant numbers:2016R1A2B3014030); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125674","Bitcoin;blockchain;Bayesian neural network;time-series analysis;predictive model","Bitcoin;Predictive models;Neural networks;Time series analysis;Bayes methods;Biological system modeling","","264","","33","OAPA","4 Dec 2017","","","IEEE","IEEE Journals"
"Can Deep Learning Improve Technical Analysis of Forex Data to Predict Future Price Movements?","M. Fisichella; F. Garolla","L3S Research Center, Leibniz University of Hannover, Hannover, Germany; SLR Engineering, Graz, Austria",IEEE Access,"19 Nov 2021","2021","9","","153083","153101","The foreign exchange market (Forex) is the world’s largest market for trading foreign money, with a trading volume of over 5.1 trillion dollars per day. It is known to be very complicated and volatile. Technical analysis is the observation of past market movements with the aim of predicting future prices and dealing with the effects of market movements. A trading system is based on technical indicators derived from technical analysis. In our work, a complete trading system with a combination of trading rules on Forex time series data is developed and made available to the scientific community. The system is implemented in two phases: In the first phase, each trading rule, both the AI-based rule and the trading rules from the technical indicators, is tested for selection; in the second phase, profitable rules are selected among the qualified rules and combined. Training data is used in the training phase of the trading system. The proposed trading system was extensively trained and tested on historical data from 2010 to 2021. To determine the effectiveness of the proposed method, we also conducted experiments with datasets and methodologies used in recent work by Hernandez-Aguila et al., 2021 and by Munkhdalai et al., 2019. Our method outperforms all other methodologies for almost all Forex markets, with an average percentage gain of 20.2%. A particular focus was on training our AI-based rule with two different architectures: the first is a widely used convolutional network for image classification, i.e. ResNet50; the second is an attention-based network Vision Transformer (ViT). The results provide a clear answer to the main question that guided our research and which is the title of this paper.","2169-3536","","10.1109/ACCESS.2021.3127570","European Commission for the eXplainable Artificial Intelligence in healthcare Management (xAIM) Project(grant numbers:INEA/CEF/ICT/A2020/2276680); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9612217","Forex;expert advisor;genetic algorithm;metatrader;technical analysis;technical indicators;trading rules;trading system","Currencies;Neural networks;Support vector machines;Predictive models;Optimization;Training;Genetic algorithms","","17","","32","CCBY","11 Nov 2021","","","IEEE","IEEE Journals"
"Machine Learning in Financial Market Surveillance: A Survey","S. Tiwari; H. Ramampiaro; H. Langseth","Department of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Department of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway; Department of Computer Science, Norwegian University of Science and Technology (NTNU), Trondheim, Norway",IEEE Access,"10 Dec 2021","2021","9","","159734","159754","The use of machine learning for anomaly detection is a well-studied topic within various application domains. However, the detection problem for market surveillance remains challenging due to the lack of labeled data and the nature of anomalous behaviors, which are often contextual and spread over a sequence of anomalous instances. This paper provides a comprehensive review of state-of-the-art machine learning methods used, particularly in financial market surveillance. We discuss the research challenges and progress in this field, mainly applied in other related application domains. In particular, we present a case of machine learning-based surveillance system design for a physical power trading market and discuss how the nature of input data affects the effectiveness of the methods on detecting anomalous market behaviors. Overall, our findings indicate that the regression tree-based ensemble algorithms robustly and effectively predict day-ahead future prices, showing their capability to detect abnormal price changes.","2169-3536","","10.1109/ACCESS.2021.3130843","Department of Computer Science, the Norwegian University of Science and Technology, and the Norwegian Open AI Lab. In addition, the ELSPOT data used in this paper was provided by NordPool AS, in collaboration with Optimeering AS.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627654","Anomaly detection;financial market surveillance;machine learning;time series","Surveillance;Machine learning;Anomaly detection;Power markets;Instruments;Time series analysis;Statistical analysis","","6","","90","CCBY","25 Nov 2021","","","IEEE","IEEE Journals"
"Ensemble Quantile Networks: Uncertainty-Aware Reinforcement Learning With Applications in Autonomous Driving","C. -J. Hoel; K. Wolff; L. Laine","Department of Mechanics and Maritime Sciences, Chalmers University of Technology, Gothenburg, Sweden; Department of Mechanics and Maritime Sciences, Chalmers University of Technology, Gothenburg, Sweden; Department of Mechanics and Maritime Sciences, Chalmers University of Technology, Gothenburg, Sweden",IEEE Transactions on Intelligent Transportation Systems,"31 May 2023","2023","24","6","6030","6041","Reinforcement learning (RL) can be used to create a decision-making agent for autonomous driving. However, previous approaches provide black-box solutions, which do not offer information on how confident the agent is about its decisions. An estimate of both the aleatoric and epistemic uncertainty of the agent’s decisions is fundamental for real-world applications of autonomous driving. Therefore, this paper introduces the Ensemble Quantile Networks (EQN) method, which combines distributional RL with an ensemble approach, to obtain a complete uncertainty estimate. The distribution over returns is estimated by learning its quantile function implicitly, which gives the aleatoric uncertainty, whereas an ensemble of agents is trained on bootstrapped data to provide a Bayesian estimation of the epistemic uncertainty. A criterion for classifying which decisions that have an unacceptable uncertainty is also introduced. The results show that the EQN method can balance risk and time efficiency in different occluded intersection scenarios, by considering the estimated aleatoric uncertainty. Furthermore, it is shown that the trained agent can use the epistemic uncertainty information to identify situations that the agent has not been trained for and thereby avoid making unfounded, potentially dangerous, decisions outside of the training distribution.","1558-0016","","10.1109/TITS.2023.3251376","Volvo Group; Wallenberg Artificial Intelligence, Autonomous Systems, and Software Program (WASP) funded by the Knut and Alice Wallenberg Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073955","Reinforcement learning;aleatoric uncertainty;epistemic uncertainty;autonomous driving;decision-making","Uncertainty;Autonomous vehicles;Training;Decision making;Reinforcement learning;Bayes methods;Neural networks","","16","","46","IEEE","16 Mar 2023","","","IEEE","IEEE Journals"
