"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Gandhmal D.P.; Kumar K.","Gandhmal, Dattatray P. (57205063745); Kumar, K. (7402676231)","57205063745; 7402676231","Systematic analysis and review of stock market prediction techniques","2019","Computer Science Review","34","","100190","","","","156","10.1016/j.cosrev.2019.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074265936&doi=10.1016%2fj.cosrev.2019.08.001&partnerID=40&md5=b185a99a4aec49defbdc48c1c9711189","Prediction of stock market trends is considered as an important task and is of great attention as predicting stock prices successfully may lead to attractive profits by making proper decisions. Stock market prediction is a major challenge owing to non-stationary, blaring, and chaotic data, and thus, the prediction becomes challenging among the investors to invest the money for making profits. Several techniques are devised in the existing techniques to predict the stock market trends. This work presents the detailed review of 50 research papers suggesting the methodologies, like Bayesian model, Fuzzy classifier, Artificial Neural Networks (ANN), Support Vector Machine (SVM) classifier, Neural Network (NN), Machine Learning Methods and so on, based on stock market prediction. The obtained papers are classified based on different prediction and clustering techniques. The research gaps and the challenges faced by the existing techniques are listed and elaborated, which help the researchers to upgrade the future works. The works are analyzed using certain datasets, software tools, performance evaluation measures, prediction techniques utilized, and performance attained by different techniques. The commonly used technique for attaining effective stock market prediction is ANN and the fuzzy-based technique. Even though a lot of research efforts, the current stock market prediction technique still have many limits. From this survey, it can be concluded that the stock market prediction is a very complex task, and different factors should be considered for predicting the future of the market more accurately and efficiently. © 2019 Elsevier Ltd. All rights reserved.","ANN; Bayesian model; Classification; Clustering; Fuzzy classifier; Stock market prediction","Bayesian networks; Classification (of information); Commerce; Electronic trading; Financial markets; Forecasting; Fuzzy neural networks; Fuzzy sets; Profitability; Support vector machines; Bayesian model; Clustering; Clustering techniques; Fuzzy classifiers; Machine learning methods; Prediction techniques; Stock market prediction; Systematic analysis; Investments","Review","Final","","Scopus","2-s2.0-85074265936"
"Nguyen N.; Nguyen D.","Nguyen, Nguyet (56496160300); Nguyen, Dung (57224876421)","56496160300; 57224876421","Global stock selection with hidden markov model","2021","Risks","9","1","9","1","18","17","6","10.3390/risks9010009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098854168&doi=10.3390%2frisks9010009&partnerID=40&md5=c145785345826581f875e8ae5d01572e","Hidden Markov model (HMM) is a powerful machine-learning method for data regime detection, especially time series data. In this paper, we establish a multi-step procedure for using HMM to select stocks from the global stock market. First, the five important factors of a stock are identified and scored based on its historical performances. Second, HMM is used to predict the regimes of six global economic indicators and find the time periods in the past during which these indicators have a combination of regimes that is similar to those predicted. Then, we analyze the five stock factors of the All country world index (ACWI) in the identified time periods to assign a weighted score for each stock factor and to calculate the composite score of the five factors. Finally, we make a monthly selection of 10% of the global stocks that have the highest composite scores. This strategy is shown to outperform those relying on either ACWI, any single stock factor, or the simple average of the five stock factors. © 2020 by the authors. Li-censee MDPI, Basel, Switzerland.","Economics; Economics indicators; Global stocks; Hidden Markov model; Machine learning; Regimes; Stock ranking; Stocks’ factors; Trading","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85098854168"
"Calvo-Pardo H.F.; Mancini T.; Olmo J.","Calvo-Pardo, Hector F. (23097158900); Mancini, Tullio (57219938511); Olmo, Jose (23994295000)","23097158900; 57219938511; 23994295000","Machine Learning the Carbon Footprint of Bitcoin Mining","2022","Journal of Risk and Financial Management","15","2","71","","","","7","10.3390/jrfm15020071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130457859&doi=10.3390%2fjrfm15020071&partnerID=40&md5=4d485b7b45d4a748e6037ff05f98b4bb","Building on an economic model of rational Bitcoin mining, we measured the carbon footprint of Bitcoin mining power consumption using feed-forward neural networks. We found associated carbon footprints of 2.77, 16.08 and 14.99 MtCO2 e for 2017, 2018 and 2019 based on a novel bottom-up approach, which (i) conform with recent estimates, (ii) lie within the economic model bounds while (iii) delivering much narrower prediction intervals and yet (iv) raise alarming concerns, given recent evidence (e.g., from climate–weather integrated models). We demonstrate how machine learning methods can contribute to not-for-profit pressing societal issues, such as global warming, where data complexity and availability can be overcome. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Bitcoin mining; CO<sub>2</sub>; dropout methods; machine learning; neural networks","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85130457859"
"Heiberger R.H.","Heiberger, Raphael H. (55600330900)","55600330900","Predicting economic growth with stock networks","2018","Physica A: Statistical Mechanics and its Applications","489","","","102","111","9","25","10.1016/j.physa.2017.07.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028070940&doi=10.1016%2fj.physa.2017.07.022&partnerID=40&md5=11abd5ce70dc8f126d2f3f078d0320ee","Networks derived from stock prices are often used to model developments on financial markets and are tightly intertwined with crises. Yet, the influence of changing market topologies on the broader economy (i.e. GDP) is unclear. In this paper, we propose a Bayesian approach that utilizes individual-level network measures of companies as lagged probabilistic features to predict national economic growth. We use a comprehensive data set consisting of Standard and Poor's 500 corporations from January 1988 until October 2016. The final model forecasts correctly all major recession and prosperity phases of the U.S. economy up to one year ahead. By employing different network measures on the level of corporations, we can also identify which companies’ stocks possess a key role in a changing economic environment and may be used as indication of critical (and prosperous) developments. More generally, the proposed approach allows to predict probabilities for different overall states of social entities by using local network positions and could be applied on various phenomena. © 2017 Elsevier B.V.","Economic growth; Econophysics; Machine learning; Naïve Bayes classifier; Stock networks","Bayesian networks; Commerce; Financial markets; Learning systems; Bayes Classifier; Bayesian approaches; Economic environment; Economic growths; Econophysicss; Individual levels; Model development; Network measures; Forecasting","Article","Final","","Scopus","2-s2.0-85028070940"
"Parker P.A.; Holan S.H.; Wills S.A.","Parker, Paul A. (57204705616); Holan, Scott H. (16238843200); Wills, Skye A. (16053979500)","57204705616; 16238843200; 16053979500","A general Bayesian model for heteroskedastic data with fully conjugate full-conditional distributions","2021","Journal of Statistical Computation and Simulation","91","15","","3207","3227","20","3","10.1080/00949655.2021.1925279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106234276&doi=10.1080%2f00949655.2021.1925279&partnerID=40&md5=08739df384d9e016665403691bb6dbfd","Models for heteroskedastic data are relevant in a variety of applications ranging from financial time series to environmental statistics. However, the topic of modelling the variance function conditionally has not seen as much attention as modelling the mean. Volatility models have been used in specific applications, but these models can be difficult to fit in a Bayesian setting due to posterior distributions that are challenging to sample efficiently. In this work, we introduce a general model for heteroskedastic data. This approach models the conditional variance as a function of any desired covariates or random effects. We rely on multivariate log-Gamma distribution theory to construct priors that yield fully conjugate full-conditional distributions for Gibbs sampling. Furthermore, we extend the model to a deep learning approach that can provide highly accurate estimates for time dependent data. We also provide an extension for heavy-tailed data. We illustrate our methodology via three applications. ©, This work was authored as part of the Contributor's official duties as an Employee of the United States Government and is therefore a work of the United States Government. In accordance with 17 USC. 105, no copyright protection is available for such works under US Law.","Deep learning; echo state network; Gibbs sampling; mixed models; multivariate log-Gamma; spatial; volatility","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106234276"
"Li H.; Cui Y.; Wang S.; Liu J.; Qin J.; Yang Y.","Li, Hui (58742085300); Cui, Yunpeng (23970197600); Wang, Shuo (57192102600); Liu, Juan (57196291640); Qin, Jinyuan (57685540300); Yang, Yilin (57217524777)","58742085300; 23970197600; 57192102600; 57196291640; 57685540300; 57217524777","Multivariate Financial Time-Series Prediction with Certified Robustness","2020","IEEE Access","8","","9113475","109133","109143","10","14","10.1109/ACCESS.2020.3001287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087336295&doi=10.1109%2fACCESS.2020.3001287&partnerID=40&md5=6b5261e124330e481a6bcd9aa264c8eb","The futures market's forecasts are significant to investors and policymakers, where the application of deep learning approaches to finance has received a great deal of attention. In this study, we propose a multivariate financial time-series forecasting method. Our model addresses the long- and short-term features, multimodal and non-stationarity nature of multivariate time-series by incorporating the improved deep neural networks and certified noise injection. Specifically, multimodal variational autoencoder is used to extract deep high-level features of multivariate time-series, Long- and Short- Term recurrent neural network is applied for multivariate time-series forecasting, and certified noise injection mechanism, inspired by differential privacy, is proposed to improve the robustness and accuracy of prediction. Extensive empirical results on real-world agricultural commodity futures price time series and relevant external data demonstrate that our model achieves better performance over that of several state-of-the-art baseline methods.  © 2013 IEEE.","deep neural networks; Futures prices; Gaussian noise; multivariate; prediction","Agricultural robots; Agriculture; Deep neural networks; Electronic trading; Financial markets; Forecasting; Investments; Recurrent neural networks; Time series analysis; Agricultural commodity futures; Differential privacies; Financial time series forecasting; Financial time series predictions; High-level features; Learning approach; Multivariate time series; Non-stationarities; Time series","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85087336295"
"Amelot L.M.M.; Subadar Agathee U.; Sunecher Y.","Amelot, Lydie Myriam Marcelle (57219960690); Subadar Agathee, Ushad (55308239000); Sunecher, Yuvraj (57136783300)","57219960690; 55308239000; 57136783300","Time series modelling, NARX neural network and hybrid KPCA–SVR approach to forecast the foreign exchange market in Mauritius","2021","African Journal of Economic and Management Studies","12","1","","18","54","36","3","10.1108/AJEMS-04-2019-0161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096322236&doi=10.1108%2fAJEMS-04-2019-0161&partnerID=40&md5=e01c73d044e990ca001424f3aa3445fb","Purpose: This study constructs time series model, artificial neural networks (ANNs) and statistical topologies to examine the volatility and forecast foreign exchange rates. The Mauritian forex market has been utilized as a case study, and daily data for nominal spot rate (during a time period of five years spanning from 2014 to 2018) for EUR/MUR, GBP/MUR, CAD/MUR and AUD/MUR have been applied for the predictions. Design/methodology/approach: Autoregressive integrated moving average (ARIMA) and generalized autoregressive conditional heteroskedasticity (GARCH) models are used as a basis for time series modelling for the analysis, along with the non-linear autoregressive network with exogenous inputs (NARX) neural network backpropagation algorithm utilizing different training functions, namely, Levenberg–Marquardt (LM), Bayesian regularization and scaled conjugate gradient (SCG) algorithms. The study also features a hybrid kernel principal component analysis (KPCA) using the support vector regression (SVR) algorithm as an additional statistical tool to conduct financial market forecasting modelling. Mean squared error (MSE) and root mean square error (RMSE) are employed as indicators for the performance of the models. Findings: The results demonstrated that the GARCH model performed better in terms of volatility clustering and prediction compared to the ARIMA model. On the other hand, the NARX model indicated that LM and Bayesian regularization training algorithms are the most appropriate method of forecasting the different currency exchange rates as the MSE and RMSE seemed to be the lowest error compared to the other training functions. Meanwhile, the results reported that NARX and KPCA–SVR topologies outperformed the linear time series models due to the theory based on the structural risk minimization principle. Finally, the comparison between the NARX model and KPCA–SVR illustrated that the NARX model outperformed the statistical prediction model. Overall, the study deduced that the NARX topology achieves better prediction performance results compared to time series and statistical parameters. Research limitations/implications: The foreign exchange market is considered to be instable owing to uncertainties in the economic environment of any country and thus, accurate forecasting of foreign exchange rates is crucial for any foreign exchange activity. The study has an important economic implication as it will help researchers, investors, traders, speculators and financial analysts, users of financial news in banking and financial institutions, money changers, non-banking financial companies and stock exchange institutions in Mauritius to take investment decisions in terms of international portfolios. Moreover, currency rates instability might raise transaction costs and diminish the returns in terms of international trade. Exchange rate volatility raises the need to implement a highly organized risk management measures so as to disclose future trend and movement of the foreign currencies which could act as an essential guidance for foreign exchange participants. By this way, they will be more alert before conducting any forex transactions including hedging, asset pricing or any speculation activity, take corrective actions, thus preventing them from making any potential losses in the future and gain more profit. Originality/value: This is one of the first studies applying artificial intelligence (AI) while making use of time series modelling, the NARX neural network backpropagation algorithm and hybrid KPCA–SVR to predict forex using multiple currencies in the foreign exchange market in Mauritius. © 2020, Emerald Publishing Limited.","ANN; ARIMA; Artificial intelligence; Forex market; GARCH; KPCA–SVR; NARX; Time series model","","Article","Final","","Scopus","2-s2.0-85096322236"
"Cocco L.; Tonelli R.; Marchesi M.","Cocco, Luisanna (37861007600); Tonelli, Roberto (7004058057); Marchesi, Michele (7005947166)","37861007600; 7004058057; 7005947166","Predictions of bitcoin prices through machine learning based frameworks","2021","PeerJ Computer Science","7","","","1","23","22","25","10.7717/PEERJ-CS.413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104808916&doi=10.7717%2fPEERJ-CS.413&partnerID=40&md5=fc076124f35bbaf16f1d081373e5a8ff","The high volatility of an asset in financial markets is commonly seen as a negative factor. However short-term trades may entail high profits if traders open and close the correct positions. The high volatility of cryptocurrencies, and in particular of Bitcoin, is what made cryptocurrency trading so profitable in these last years. The main goal of this work is to compare several frameworks each other to predict the daily closing Bitcoin price, investigating those that provide the best performance, after a rigorous model selection by the so-called k-fold cross validation method. We evaluated the performance of one stage frameworks, based only on one machine learning technique, such as the Bayesian Neural Network, the Feed Forward and the Long Short Term Memory Neural Networks, and that of two stages frameworks formed by the neural networks just mentioned in cascade to Support Vector Regression. Results highlight higher performance of the two stages frameworks with respect to the correspondent one stage frameworks, but for the Bayesian Neural Network. The one stage framework based on Bayesian Neural Network has the highest performance and the order of magnitude of the mean absolute percentage error computed on the predicted price by this framework is in agreement with those reported in recent literature works. © 2021. Cocco et al.","Artificial Intelligence; Bayesian neural network; Cryptocurrencies; Data Mining and Machine Learning; Machine learning; Technical indicators","Bayesian networks; Bitcoin; Costs; Electronic trading; Machine learning; Predictive analytics; Profitability; Support vector regression; Bayesian neural networks; Feed forward; High volatility; K fold cross validations; Mean absolute percentage error; One-machine; Rigorous model; Short term; Feedforward neural networks","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104808916"
"Petropoulos A.; Chatzis S.P.; Siakoulis V.; Vlachogiannakis N.","Petropoulos, Anastasios (57125824100); Chatzis, Sotirios P. (14919099600); Siakoulis, Vasilis (55897863800); Vlachogiannakis, Nikos (57192118273)","57125824100; 14919099600; 55897863800; 57192118273","A stacked generalization system for automated FOREX portfolio trading","2017","Expert Systems with Applications","90","","","290","302","12","34","10.1016/j.eswa.2017.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027974046&doi=10.1016%2fj.eswa.2017.08.011&partnerID=40&md5=f7ea56c9e0b2962bcc9a36b15225e28c","Multiple FOREX time series forecasting is a hot research topic in the literature of portfolio trading. To this end, a large variety of machine learning algorithms have been examined. However, it is now widely understood that, in real-world trading settings, no single machine learning model can consistently outperform the alternatives. In this work, we examine the efficacy and the feasibility of developing a stacked generalization system, intelligently combining the predictions of diverse machine learning models. Our approach establishes a novel inferential framework that comprises the following levels of data processing: (i) We model the dependence patterns between major currency pairs via a diverse set of commonly used machine learning algorithms, namely support vector machines (SVMs), random forests (RFs), Bayesian autoregressive trees (BART), dense-layer neural networks (NNs), and naïve Bayes (NB) classifiers. (ii) We generate implied signals of exchange rate fluctuation, based on the output of these models, as well as appropriate side information obtained by analyzing the correlations across currency pairs in our training datasets. (iii) We finally combine these implied signals into an aggregate predictive waveform, by leveraging majority voting, genetic algorithm optimization, and regression weighting techniques. We thoroughly test our framework in real-world trading scenarios; we show that our system leads to significantly better trading performance than the considered benchmarks. Thus, it represents an attractive solution for financial firms and corporations that perform foreign exchange portfolio management and daily trading. Our system can be used as an integrated part in international commercial trade activities or in a quantitative investing framework for algorithmic trading and carry-trade speculation. © 2017 Elsevier Ltd","Algorithmic trading; Forex forecasting; Machine learning; Portfolio management; Stacked generalization","","Article","Final","","Scopus","2-s2.0-85027974046"
"David M.; Ramahatana F.; Trombe P.J.; Lauret P.","David, M. (35486904800); Ramahatana, F. (57188806467); Trombe, P.J. (37115974000); Lauret, P. (7004327525)","35486904800; 57188806467; 37115974000; 7004327525","Probabilistic forecasting of the solar irradiance with recursive ARMA and GARCH models","2016","Solar Energy","133","","","55","72","17","170","10.1016/j.solener.2016.03.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963628979&doi=10.1016%2fj.solener.2016.03.064&partnerID=40&md5=7e54ac783ac8b43bb3fb14de8e9c1903","Forecasting of the solar irradiance is a key feature in order to increase the penetration rate of solar energy into the energy grids. Indeed, the anticipation of the fluctuations of the solar renewables allows a better management of the production means of electricity and a better operation of the grid-connected storage systems. If numerous methods for forecasting the mean of the solar irradiance were recently developed, there are only few works dedicated to the evaluation of prediction intervals associated to these point forecasts. Time series of solar irradiance and more specifically of clear sky index show some similarities with that of financial time series. The aim of this paper is to assess the performances of a commonly used combination of two linear models (ARMA and GARCH) in econometrics in order to provide probabilistic forecasts of solar irradiance. In addition, a recursive estimation of the parameters of the models has been set up in order to provide a framework that can be applied easily in an operational context. A comprehensive testing procedure has been used to assess both point forecasts and probabilistic forecasts. Using only the past records of the solar irradiance, the proposed model is able to perform point forecasts as accurately as other methods based on machine learning techniques. Moreover, the recursive ARMA-GARCH model is easier to set-up and it gives additional information about the uncertainty of the forecasts. Even if some strong assumption has been made regarding the statistical distribution of the error, the reliability of the probabilistic forecasts stands in the same order of magnitude as other works done in the field of solar forecasting. © 2016 Elsevier Ltd.","ARMA; Clear sky index; GARCH; Operational framework; Probabilistic solar forecasts; Recursive least square","Arma; Artificial intelligence; Economics; Financial data processing; Learning systems; Probability distributions; Solar energy; Solar radiation; Statistics; Time series; ARMA; Clear sky; GARCH; Operational framework; Recursive least square (RLS); atmospheric modeling; clear sky; econometrics; energy planning; forecasting method; machine learning; numerical method; performance assessment; probability; solar radiation; time series analysis; Forecasting","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84963628979"
"Andrée B.P.J.","Andrée, Bo Pieter Johannes (57191276860)","57191276860","Conducting Causal Analysis by Means of Approximating Probabilistic Truths","2022","Entropy","24","1","92","","","","2","10.3390/e24010092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122468495&doi=10.3390%2fe24010092&partnerID=40&md5=3e0b7480fcc7c32be293806d531f465f","The current paper develops a probabilistic theory of causation using measure-theoretical concepts and suggests practical routines for conducting causal inference. The theory is applicable to both linear and high-dimensional nonlinear models. An example is provided using random forest regressions and daily data on yield spreads. The application tests how uncertainty in short-and long-term inflation expectations interacts with spreads in the daily Bitcoin price. The results are contrasted with those obtained by standard linear Granger causality tests. It is shown that the suggested measure-theoretic approaches do not only lead to better predictive models, but also to more plausible parsimonious descriptions of possible causal flows. The paper concludes that researchers interested in causal analysis should be more aspirational in terms of developing predictive capabilities, even if the interest is in inference and not in prediction per se. The theory developed in the paper provides practitioners guidance for developing causal models using new machine learning methods that have, so far, remained relatively underutilized in this context. © 2022 by the author. Licensee MDPI, Basel, Switzerland.","Approximation theory; Bitcoin; Causality; Correct specification; Hellinger distance; Inflation; Kullback–Leibler divergence; Misspecified models; Yield spreads","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85122468495"
"Zhang X.-D.; Li A.; Pan R.","Zhang, Xiao-dan (55715313800); Li, Ang (57199855236); Pan, Ran (57190965457)","55715313800; 57199855236; 57190965457","Stock trend prediction based on a new status box method and AdaBoost probabilistic support vector machine","2016","Applied Soft Computing Journal","49","","","385","398","13","84","10.1016/j.asoc.2016.08.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984830283&doi=10.1016%2fj.asoc.2016.08.026&partnerID=40&md5=c8f1ae1ed680bb851c523015ad9b17ae","Stock trend prediction is regarded as one of the most challenging tasks of financial time series prediction. Conventional statistical modeling techniques are not adequate for stock trend forecasting because of the non-stationarity and non-linearity of the stock market. With this regard, many machine learning approaches are used to improve the prediction results. These approaches mainly focus on two aspects: regression problem of the stock price and prediction problem of the turning points of stock price. In this paper, we concentrate on the evaluation of the current trend of stock price and the prediction of the change orientation of the stock price in future. Then, a new approach named status box method is proposed. Different from the prediction issue of the turning points, the status box method packages some stock points into three categories of boxes which indicate different stock status. And then, some machine learning techniques are used to classify these boxes so as to measure whether the states of each box coincides with the stock price trend and forecast the stock price trend based on the states of the box. These results would support us to make buying or selling strategies. Comparing with the turning points prediction that only considered the features of one day, each status box contains a certain amount of points which represent the stock price trend in a certain period of time. So, the status box reflects more information of stock market. To solve the classification problem of the status box, a special features construction approach is presented. Moreover, a new ensemble method integrated with the AdaBoost algorithm, probabilistic support vector machine (PSVM), and genetic algorithm (GA) is constructed to perform the status boxes classification. To verify the applicability and superiority of the proposed methods, 20 shares chosen from Shenzhen Stock Exchange (SZSE) and 16 shares from National Association of Securities Dealers Automated Quotations (NASDAQ) are applied to perform stock trend prediction. The results show that the status box method not only have the better classification accuracy but also effectively solve the unbalance problem of the stock turning points classification. In addition, the new ensemble classifier achieves preferable profitability in simulation of stock investment and remarkably improves the classification performance compared with the approach that only uses the PSVM or back-propagation artificial neural network (BPN). © 2016 Elsevier B.V.","AdaBoost; Piecewise linear representation; Probabilistic support vector machine; Status box method; Stock trend prediction","Adaptive boosting; Artificial intelligence; Backpropagation; Commerce; Costs; Finance; Financial data processing; Financial markets; Forecasting; Genetic algorithms; Investments; Learning systems; Neural networks; Piecewise linear techniques; Problem solving; Support vector machines; Time series analysis; Back propagation artificial neural network (BPANN); Classification performance; Financial time series predictions; Machine learning approaches; Machine learning techniques; Piecewise linear representation; Status box method; Stock trend prediction; Electronic trading","Article","Final","","Scopus","2-s2.0-84984830283"
"Chopra D.; Kaur A.","Chopra, Deepti (57196963238); Kaur, Arvinder (57548731500)","57196963238; 57548731500","IoT-based group size prediction and recommendation system using machine learning and deep learning techniques","2021","SN Applied Sciences","3","2","160","","","","1","10.1007/s42452-021-04162-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100738033&doi=10.1007%2fs42452-021-04162-x&partnerID=40&md5=1604b131d70d08ee60bead6731f9565f","In an open source software development environment, it is hard to decide the number of group members required for resolving software issues. Developers generally reply to issues based totally on their domain knowledge and interest, and there are no predetermined groups. The developers openly collaborate on resolving the issues based on many factors, such as their interest, domain expertise, and availability. This study compares eight different algorithms employing machine learning and deep learning, namely—Convolutional Neural Network, Multilayer Perceptron, Classification and Regression Trees, Generalized Linear Model, Bayesian Additive Regression Trees, Gaussian Process, Random Forest and Conditional Inference Tree for predicting group size in five open source software projects developed and managed using an open source development framework GitHub. The social information foraging model has also been extended to predict group size in software issues, and its results compared to those obtained using machine learning and deep learning algorithms. The prediction results suggest that deep learning and machine learning models predict better than the extended social information foraging model, while the best-ranked model is a deep multilayer perceptron((R.M.S.E. sequelize—1.21, opencv—1.17, bitcoin—1.05, aseprite—1.01, electron—1.16). Also it was observed that issue labels helped improve the prediction performance of the machine learning and deep learning models. The prediction results of these models have been used to build an Issue Group Recommendation System as an Internet of Things application that recommends and alerts additional developers to help resolve an open issue. © 2021, The Author(s).","Deep learning; Edge computing; Internet of things; Machine learning; Open source software development; Software repositories","Convolutional neural networks; Decision trees; Deep learning; Forecasting; Forestry; Inference engines; Information dissemination; Internet of things; Learning systems; Learning to rank; Multilayer neural networks; Multilayers; Open source software; Open systems; Predictive analytics; Recommender systems; Social aspects; Software design; Bayesian additive regression trees; Classification and regression tree; Generalized linear model; Group recommendation systems; Machine learning models; Open source development; Open source software projects; Prediction performance; Learning algorithms","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85100738033"
"Park S.; Lee J.; Son Y.","Park, Saerom (57161194300); Lee, Jaewook (8852130600); Son, Youngdoo (56645738600)","57161194300; 8852130600; 56645738600","Predicting market impact costs using nonparametric machine learning models","2016","PLoS ONE","11","2","e0150243","","","","14","10.1371/journal.pone.0150243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960372443&doi=10.1371%2fjournal.pone.0150243&partnerID=40&md5=6f94b96757c474d2e6c5a4578218f875","Market impact cost is the most significant portion of implicit transaction costs that can reduce the overall transaction cost, although it cannot be measured directly. In this paper, we employed the state-of-the-art nonparametric machine learning models: neural networks, Bayesian neural network, Gaussian process, and support vector regression, to predict market impact cost accurately and to provide the predictive model that is versatile in the number of variables. We collected a large amount of real single transaction data of US stock market from Bloomberg Terminal and generated three independent input variables. As a result, most nonparametric machine learning models outperformed a-state-of-the-art benchmark parametric model such as I-star model in four error measures. Although these models encounter certain difficulties in separating the permanent and temporary cost directly, nonparametric machine learning models can be good alternatives in reducing transaction costs by considerably improving in prediction performance. © 2016 Park et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Costs and Cost Analysis; Investments; Machine Learning; Regression Analysis; Statistics, Nonparametric; machine learning; market; model; nervous system; prediction; statistical model; support vector machine; cost; economics; investment; nonparametric test; regression analysis; statistics and numerical data","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84960372443"
"Nardi P.C.C.; Ribeiro E.M.S.; Bueno J.L.O.; Aggarwal I.","Nardi, Paula Carolina Ciampaglia (55877016600); Ribeiro, Evandro Marcos Saidel (55860800172); Bueno, José Lino Oliveira (35605510100); Aggarwal, Ishani (55764159600)","55877016600; 55860800172; 35605510100; 55764159600","The Influence of Cognitive Biases and Financial Factors on Forecast Accuracy of Analysts","2022","Frontiers in Psychology","12","","773894","","","","5","10.3389/fpsyg.2021.773894","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123223736&doi=10.3389%2ffpsyg.2021.773894&partnerID=40&md5=d7ec6315a46894b8f07499ac9772a1af","The objective of this study was to jointly analyze the importance of cognitive and financial factors in the accuracy of profit forecasting by analysts. Data from publicly traded Brazilian companies in 2019 were obtained. We used text analysis to assess the cognitive biases from the qualitative reports of analysts. Further, we analyzed the data using statistical regression learning methods and statistical classification learning methods, such as Multiple Linear Regression (MRL), k-dependence Bayesian (k-DB), and Random Forest (RF). The Bayesian inference and classification methods allow an expansion of the research line, especially in the area of machine learning, which can benefit from the examples of factors addressed in this research. The results indicated that, among cognitive biases, optimism had a negative relationship with forecasting accuracy while anchoring bias had a positive relationship. Commonality, to a lesser extent, also had a positive relationship with the analyst’s accuracy. Among financial factors, the most important aspects in the accuracy of analysts were volatility, indebtedness, and profitability. Age of the company, fair value, American Depositary Receipts (ADRs), performance, and loss were still important but on a smaller scale. The results of the RF models showed a greater explanatory power. This research sheds light on the cognitive as well as financial aspects that influence the analyst’s accuracy, jointly using text analysis and machine learning methods, capable of improving the explanatory power of predictive models, together with the use of training models followed by testing. Copyright © 2022 Nardi, Ribeiro, Bueno and Aggarwal.","analysts’ accuracy; analysts’ forecast; cognitive biases; random forest; text analysis","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85123223736"
"Yang C.; Wang X.; Mao S.","Yang, Chao (57195334389); Wang, Xuyu (56344911700); Mao, Shiwen (57201755539)","57195334389; 56344911700; 57201755539","Unsupervised Detection of Apnea Using Commodity RFID Tags with a Recurrent Variational Autoencoder","2019","IEEE Access","7","","8720147","67526","67538","12","24","10.1109/ACCESS.2019.2918292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067169915&doi=10.1109%2fACCESS.2019.2918292&partnerID=40&md5=bc77268d0a5eb6eb608501026ce8eab7","With the rapid development of intelligent health sensing in the Internet of Things (IoT), vital sign monitoring (e.g., respiration) and abnormal respiration detection have attracted increasing attention. Considering the challenging and the cost of collecting labeled training data from patients with breathing related diseases, we develop the AutoTag system, an unsupervised recurrent variational autoencoder-based method for respiration rate estimation and abnormal breathing detection with off-the-shelf RFID tags. Moreover, for real-time breath monitoring, a novel method is proposed to cancel the distortion on measured phase values caused by channel hopping for FCC-complaint RFID systems. The efficacy of the proposed system is demonstrated by the extensive experiments conducted in two indoor environments, while the impact of various design and environmental factors is also evaluated. © 2013 IEEE.","Apnea; deep learning; radio-frequency identification (RFID); recurrent variational autoencoder; respiration monitoring","Deep learning; Internet of things; Patient monitoring; Real time systems; Apnea; Auto encoders; Environmental factors; Internet of thing (IOT); Respiration detections; Respiration monitoring; Unsupervised detection; Vital sign monitoring; Radio frequency identification (RFID)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85067169915"
